%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  989.353838E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,199.31833742,236.40174193,21.86072256,0.00033318,-0.00354085,0.82817550,0.00194163,0.00000000,0.00000000,0.98935384
1.00000000,199.31833742,236.40174193,21.86072256,-0.03090253,-0.01362087,0.83700983,0.00203054,0.00000000,0.00000000,0.98935384
1.00000000,199.55851115,236.16465258,21.84975766,0.01074508,-0.00354085,0.83700983,0.00229725,0.00000000,0.00000000,0.98935384
1.00000000,199.71862697,236.40174193,21.86072256,0.00033318,0.00317916,0.84937790,0.00229725,0.00000000,0.00000000,0.98935384
1.00000000,199.79868488,236.16465258,21.84975766,0.00033318,-0.00018085,0.84937790,0.00229725,0.00000000,0.00000000,0.98935384
1.00000000,199.95880070,236.48077171,21.86437631,-0.03090253,0.00989917,0.85644537,0.00185273,0.00000000,0.00000000,0.98935384
1.00000000,243.83054887,284.53089762,23.98302131,-0.04131443,0.01997918,1.00486216,0.00247505,0.00000000,0.00000000,0.98935384
1.00000000,243.67043296,284.60992746,23.98635178,-0.03090253,0.01325917,0.99779469,0.00283066,0.00000000,0.00000000,0.98935384
1.00000000,243.59037500,284.68895730,23.98968179,-0.01007872,0.01325917,1.00486216,0.00265286,0.00000000,0.00000000,0.98935384
1.00000000,243.27014316,284.53089762,23.98302131,-0.04131443,0.01325917,1.00132843,0.00247505,0.00000000,0.00000000,0.98935384
1.00000000,242.94991133,284.21477825,23.96969481,-0.04131443,0.01661918,0.99956156,0.00256396,0.00000000,0.00000000,0.98935384
1.00000000,242.62967950,284.13574841,23.96636203,-0.03090253,-0.00018085,1.00486216,0.00274176,0.00000000,0.00000000,0.98935384
1.00000000,242.54962154,283.81962905,23.95302625,-0.06213823,0.01661918,0.99779469,0.00247505,0.00000000,0.00000000,0.98935384
1.00000000,242.30944767,283.74059921,23.94969115,-0.04131443,0.01997918,0.99249409,0.00256396,0.00000000,0.00000000,0.98935384
1.00000000,242.14933175,283.50350969,23.93968305,-0.04131443,0.00317916,0.98189290,0.00274176,0.00000000,0.00000000,0.98935384
1.00000000,242.30944767,283.58253953,23.94301955,-0.05172633,0.01325917,0.97659230,0.00265286,0.00000000,0.00000000,0.98935384
1.00000000,242.14933175,283.18739033,23.92633241,-0.07255014,-0.00354085,0.96952483,0.00247505,0.00000000,0.00000000,0.98935384
1.00000000,242.14933175,283.18739033,23.92633241,-0.06213823,0.00989917,0.96775796,0.00291957,0.00000000,0.00000000,0.98935384
1.00000000,242.54962154,283.10836049,23.92299359,-0.05172633,0.00989917,0.96599110,0.00265286,0.00000000,0.00000000,0.98935384
1.00000000,242.78979541,283.18739033,23.92633241,-0.07255014,-0.00354085,0.97659230,0.00238615,0.00000000,0.00000000,0.98935384
1.00000000,243.02996929,283.10836049,23.92299359,-0.06213823,0.00317916,0.98012603,0.00211944,0.00000000,0.00000000,0.98935384
1.00000000,243.11002724,283.02933065,23.91965429,-0.05172633,0.00653916,0.98896036,0.00194163,0.00000000,0.00000000,0.98935384
1.00000000,243.75049091,283.18739033,23.92633241,-0.07255014,0.00989917,0.99426096,0.00265286,0.00000000,0.00000000,0.98935384
1.00000000,244.23083867,283.66156937,23.94635558,-0.03090253,-0.00354085,0.98896036,0.00247505,0.00000000,0.00000000,0.98935384
1.00000000,244.79124439,283.81962905,23.95302625,-0.04131443,0.00653916,0.99249409,0.00256396,0.00000000,0.00000000,0.98935384
1.00000000,245.03141827,284.05671857,23.96302878,-0.04131443,0.00317916,0.99602783,0.00247505,0.00000000,0.00000000,0.98935384
1.00000000,245.19153419,284.21477825,23.96969481,-0.07255014,0.00989917,1.00132843,0.00265286,0.00000000,0.00000000,0.98935384
1.00000000,245.59182400,284.37283794,23.97635899,-0.06213823,-0.00354085,0.99956156,0.00265286,0.00000000,0.00000000,0.98935384
1.00000000,245.75193992,284.68895730,23.98968179,-0.03090253,0.02333919,1.01723023,0.00291957,0.00000000,0.00000000,0.98935384
1.00000000,245.83199788,285.40022588,24.01963108,-0.02049062,0.01997918,1.02606456,0.00265286,0.00000000,0.00000000,0.98935384
1.00000000,245.99211380,285.40022588,24.01963108,0.01074508,0.02333919,1.02783143,0.00256396,0.00000000,0.00000000,0.98935384
1.00000000,279.77658191,329.26180392,25.79941468,-0.05172633,-0.00690086,1.16741388,0.00265286,0.00000000,0.00000000,0.98935384
1.00000000,280.25692992,329.10374412,25.79322152,-0.06213823,-0.00018085,1.16034641,0.00300847,0.00000000,0.00000000,0.98935384
1.00000000,281.05750994,329.34083382,25.80251070,-0.04131443,-0.00354085,1.16034641,0.00274176,0.00000000,0.00000000,0.98935384
1.00000000,281.29768395,329.65695341,25.81489107,-0.03090253,-0.00354085,1.17271448,0.00265286,0.00000000,0.00000000,0.98935384
1.00000000,281.93814798,329.57792352,25.81179653,-0.09337394,-0.00690086,1.18508255,0.00274176,0.00000000,0.00000000,0.98935384
1.00000000,282.41849600,329.73598331,25.81798523,-0.07255014,-0.01698088,1.18508255,0.00283066,0.00000000,0.00000000,0.98935384
1.00000000,283.05896004,329.97307301,25.82726551,-0.07255014,0.01661918,1.19921748,0.00283066,0.00000000,0.00000000,0.98935384
1.00000000,283.69942409,330.44725241,25.84581605,-0.06213823,0.00989917,1.19745061,0.00256396,0.00000000,0.00000000,0.98935384
1.00000000,284.41994614,331.07949162,25.87052942,-0.05172633,-0.00018085,1.17801508,0.00238615,0.00000000,0.00000000,0.98935384
1.00000000,284.66012016,331.31658132,25.87979085,-0.06213823,0.00317916,1.17271448,0.00283066,0.00000000,0.00000000,0.98935384
1.00000000,284.90029419,331.71173083,25.89521920,-0.06213823,-0.00690086,1.15504582,0.00274176,0.00000000,0.00000000,0.98935384
1.00000000,285.06041020,331.94882053,25.90447180,-0.06213823,0.00653916,1.15857955,0.00220834,0.00000000,0.00000000,0.98935384
1.00000000,285.14046821,332.34397004,25.91988547,-0.08296204,-0.01362087,1.15327895,0.00309737,0.00000000,0.00000000,0.98935384
1.00000000,285.22052622,332.50202985,25.92604837,-0.06213823,-0.00018085,1.17094761,0.00300847,0.00000000,0.00000000,0.98935384
1.00000000,284.90029419,332.73911956,25.93528997,-0.07255014,-0.00018085,1.17624821,0.00291957,0.00000000,0.00000000,0.98935384
1.00000000,284.82023618,332.81814946,25.93836977,-0.06213823,-0.01362087,1.17978195,0.00300847,0.00000000,0.00000000,0.98935384
1.00000000,284.50000415,333.05523917,25.94760699,-0.06213823,-0.00018085,1.17448135,0.00283066,0.00000000,0.00000000,0.98935384
1.00000000,284.09971412,332.97620927,25.94452828,-0.07255014,0.00317916,1.16388015,0.00283066,0.00000000,0.00000000,0.98935384
1.00000000,283.69942409,332.97620927,25.94452828,-0.04131443,-0.01026086,1.14267775,0.00318628,0.00000000,0.00000000,0.98935384
1.00000000,283.29913406,333.05523917,25.94760699,-0.06213823,-0.00354085,1.13384342,0.00309737,0.00000000,0.00000000,0.98935384
1.00000000,282.89884403,332.97620927,25.94452828,-0.09337394,-0.00018085,1.13737715,0.00283066,0.00000000,0.00000000,0.98935384
1.00000000,282.49855401,332.58105975,25.92912927,-0.09337394,-0.00018085,1.13384342,0.00327518,0.00000000,0.00000000,0.98935384
1.00000000,282.25837999,332.18591024,25.91372110,-0.07255014,-0.00354085,1.15327895,0.00291957,0.00000000,0.00000000,0.98935384
1.00000000,281.93814798,332.10688034,25.91063837,-0.04131443,-0.01362087,1.15681268,0.00309737,0.00000000,0.00000000,0.98935384
1.00000000,281.85808997,332.18591024,25.91372110,-0.03090253,-0.00018085,1.16388015,0.00283066,0.00000000,0.00000000,0.98935384
1.00000000,335.09668426,389.48261750,28.05971247,-0.08296204,0.03005920,1.39180592,0.00238615,0.00000000,0.00000000,0.98935384
1.00000000,335.09668426,389.79873742,28.07109736,-0.06213823,0.00317916,1.38827218,0.00300847,0.00000000,0.00000000,0.98935384
1.00000000,335.17674233,390.03582736,28.07963300,-0.08296204,0.01997918,1.39710651,0.00256396,0.00000000,0.00000000,0.98935384
1.00000000,335.25680040,390.19388733,28.08532199,-0.07255014,0.01325917,1.40240711,0.00238615,0.00000000,0.00000000,0.98935384
1.00000000,335.09668426,390.43097727,28.09385330,-0.09337394,0.01325917,1.39887338,0.00291957,0.00000000,0.00000000,0.98935384
1.00000000,334.93656812,390.82612718,28.10806641,-0.02049062,0.00989917,1.40770771,0.00265286,0.00000000,0.00000000,0.98935384
1.00000000,334.69639391,390.66806722,28.10238203,-0.07255014,0.00989917,1.40947458,0.00283066,0.00000000,0.00000000,0.98935384
1.00000000,334.53627777,390.74709720,28.10522437,-0.06213823,0.00653916,1.42184264,0.00274176,0.00000000,0.00000000,0.98935384
1.00000000,334.13598742,390.51000725,28.09669650,-0.08296204,0.00317916,1.41654204,0.00318628,0.00000000,0.00000000,0.98935384
1.00000000,333.73569708,390.43097727,28.09385330,-0.07255014,0.00317916,1.42184264,0.00327518,0.00000000,0.00000000,0.98935384
1.00000000,333.57558095,390.35194729,28.09100982,-0.06213823,-0.00354085,1.42007578,0.00291957,0.00000000,0.00000000,0.98935384
1.00000000,333.17529061,390.11485735,28.08247764,-0.07255014,0.01325917,1.41654204,0.00309737,0.00000000,0.00000000,0.98935384
1.00000000,332.85505834,389.87776740,28.07394286,-0.07255014,0.01325917,1.41124145,0.00309737,0.00000000,0.00000000,0.98935384
1.00000000,332.45476800,389.40358752,28.05686552,-0.08296204,0.01661918,1.40594085,0.00291957,0.00000000,0.00000000,0.98935384
1.00000000,332.21459380,389.16649758,28.04832296,-0.07255014,0.01997918,1.39887338,0.00274176,0.00000000,0.00000000,0.98935384
1.00000000,332.05447767,389.00843762,28.04262647,-0.05172633,0.00317916,1.40240711,0.00300847,0.00000000,0.00000000,0.98935384
1.00000000,331.65418734,388.61328772,28.02838017,-0.05172633,0.01661918,1.39710651,0.00318628,0.00000000,0.00000000,0.98935384
1.00000000,331.09378088,388.45522776,28.02267963,-0.07255014,-0.00018085,1.39710651,0.00327518,0.00000000,0.00000000,0.98935384
1.00000000,330.93366476,387.82298793,27.99986584,-0.07255014,-0.00354085,1.38827218,0.00345298,0.00000000,0.00000000,0.98935384
1.00000000,330.69349056,387.82298793,27.99986584,-0.08296204,0.00317916,1.38473845,0.00300847,0.00000000,0.00000000,0.98935384
1.00000000,330.37325830,387.34880806,27.98274330,-0.08296204,0.01325917,1.36706979,0.00265286,0.00000000,0.00000000,0.98935384
1.00000000,330.13308411,387.03268816,27.97132244,-0.03090253,-0.00354085,1.35470172,0.00291957,0.00000000,0.00000000,0.98935384
1.00000000,329.65273573,386.79559822,27.96275374,-0.07255014,-0.00018085,1.34410052,0.00318628,0.00000000,0.00000000,0.98935384
1.00000000,329.25244542,386.55850829,27.95418241,-0.06213823,-0.01026086,1.34056679,0.00300847,0.00000000,0.00000000,0.98935384
1.00000000,328.93221317,386.08432844,27.93703187,-0.09337394,-0.01026086,1.34233366,0.00327518,0.00000000,0.00000000,0.98935384
