%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Port Number, Selector Dynamic Pressure {P#-Pstatic} (Pa), Airspeed Dynamic {qinf} (Pa), Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Density (kg/m^3)
6,-76.38529365,31.13006204,8.21167992,-0.52899157,-49.03523321,-30.09360199,1.37796954,0,0,0.92330664
6,-76.545409,31.13006204,8.22658106,-0.54981473,-49.03523321,-30.09360199,1.37796954,0,0,0.91996482
6,-76.545409,31.05103246,8.19782326,-0.54981473,-49.03523321,-30.09360199,1.37796954,0,0,0.92407866
6,-76.38529365,31.2881212,8.23875953,-0.56022631,-49.03523321,-30.09360199,1.37796954,0,0,0.92190427
6,-76.30523597,31.2881212,8.23750692,-0.53940315,-49.03523321,-30.09360199,1.37796954,0,0,0.92218467
6,-76.38529365,31.36715078,8.25094871,-0.53940315,-49.03523321,-30.09360199,1.37796954,0,0,0.92150414
6,-76.30523597,31.52520994,8.27654553,-0.56022631,-49.03523321,-30.09360199,1.37796954,0,0,0.92042788
6,-76.14512062,31.36715078,8.25273585,-0.54981473,-49.03523321,-30.09360199,1.37796954,0,0,0.92110508
7,-70.22085254,29.31238176,7.96974317,-0.52899157,-49.03523321,-30.09360199,1.37796954,0,0,0.92298034
7,-70.46102557,29.23335218,7.94539168,-0.50816841,-49.03523321,-30.09360199,1.37796954,0,0,0.92614288
7,-70.46102557,28.99626345,7.92036378,-0.53940315,-49.03523321,-30.09360199,1.37796954,0,0,0.92444648
7,-70.30091022,29.07529303,7.92205794,-0.52899157,-49.03523321,-30.09360199,1.37796954,0,0,0.92656964
7,-70.22085254,29.47044091,8.00564133,-0.53940315,-49.03523321,-30.09360199,1.37796954,0,0,0.9196538
7,-70.22085254,29.47044091,8.0051144,-0.52899157,-49.03523321,-30.09360199,1.37796954,0,0,0.91977488
7,-70.14079486,29.39141133,7.98692908,-0.54981473,-49.03523321,-30.09360199,1.37796954,0,0,0.92149033
7,-70.06073718,29.39141133,7.9932458,-0.56022631,-49.03523321,-30.09360199,1.37796954,0,0,0.92003447
7,-70.06073718,29.39141133,8.00444055,-0.52899157,-49.03523321,-30.09360199,1.37796954,0,0,0.91746281
7,-69.74050647,29.39141133,7.98958576,-0.53940315,-49.03523321,-30.09360199,1.37796954,0,0,0.9208776
8,-67.17866071,30.33976626,8.10876154,-0.59146105,-49.03523321,-30.09360199,1.37796954,0,0,0.92285436
8,-67.25871839,30.576855,8.14667637,-0.59146105,-49.03523321,-30.09360199,1.37796954,0,0,0.92142901
8,-67.09860303,30.65588457,8.15636322,-0.58104947,-49.03523321,-30.09360199,1.37796954,0,0,0.92161754
8,-67.25871839,30.65588457,8.13993299,-0.57063789,-49.03523321,-30.09360199,1.37796954,0,0,0.92534182
8,-67.33877607,30.576855,8.14219754,-0.59146105,-49.03523321,-30.09360199,1.37796954,0,0,0.922443
8,-67.49889143,30.41879584,8.12689416,-0.6226958,-49.03523321,-30.09360199,1.37796954,0,0,0.92113399
8,-67.57894911,30.41879584,8.13081542,-0.61228422,-49.03523321,-30.09360199,1.37796954,0,0,0.92024573
8,-67.73906447,30.49782542,8.13390015,-0.61228422,-49.03523321,-30.09360199,1.37796954,0,0,0.9219369
8,-67.57894911,30.41879584,8.12629509,-0.59146105,-49.03523321,-30.09360199,1.37796954,0,0,0.9212698
8,-67.57894911,30.73491415,8.16231624,-0.59146105,-49.03523321,-30.09360199,1.37796954,0,0,0.92264613
9,-69.58039111,30.41879584,8.12512534,-0.63310738,-49.03523321,-30.09360199,1.37796954,0,0,0.92153509
9,-69.42027575,30.49782542,8.13748909,-0.60187264,-49.03523321,-30.09360199,1.37796954,0,0,0.92112386
9,-69.50033343,30.41879584,8.13235148,-0.6226958,-49.03523321,-30.09360199,1.37796954,0,0,0.91989812
9,-69.50033343,30.33976626,8.11738206,-0.61228422,-49.03523321,-30.09360199,1.37796954,0,0,0.92089529
9,-69.66044879,30.18170711,8.09104278,-0.61228422,-49.03523321,-30.09360199,1.37796954,0,0,0.92207193
9,-69.34021807,30.33976626,8.10223239,-0.6226958,-49.03523321,-30.09360199,1.37796954,0,0,0.92434232
9,-69.10004503,30.41879584,8.1269376,-0.61228422,-49.03523321,-30.09360199,1.37796954,0,0,0.92112414
9,-69.58039111,30.26073668,8.0929841,-0.59146105,-49.03523321,-30.09360199,1.37796954,0,0,0.92404287
9,-69.34021807,30.26073668,8.09535341,-0.57063789,-49.03523321,-30.09360199,1.37796954,0,0,0.92350206
9,-69.42027575,30.18170711,8.0841454,-0.59146105,-49.03523321,-30.09360199,1.37796954,0,0,0.92364602
10,-70.30091022,29.70752964,8.03231527,-0.6226958,-49.03523321,-30.09360199,1.37796954,0,0,0.92090545
10,-70.30091022,29.8655888,8.05065637,-0.61228422,-49.03523321,-30.09360199,1.37796954,0,0,0.92159158
10,-70.30091022,29.78655922,8.04063307,-0.64351896,-49.03523321,-30.09360199,1.37796954,0,0,0.92144591
10,-70.22085254,29.78655922,8.049541,-0.64351896,-49.03523321,-30.09360199,1.37796954,0,0,0.91940762
10,-70.06073718,29.78655922,8.03940364,-0.61228422,-49.03523321,-30.09360199,1.37796954,0,0,0.92172776
10,-70.06073718,29.94461837,8.06517907,-0.63310738,-49.03523321,-30.09360199,1.37796954,0,0,0.92070553
10,-69.9806795,30.02364795,8.05340983,-0.59146105,-49.03523321,-30.09360199,1.37796954,0,0,0.92583555
10,-69.9806795,29.78655922,8.03901016,-0.61228422,-49.03523321,-30.09360199,1.37796954,0,0,0.92181799
10,-70.06073718,29.70752964,8.02722813,-0.60187264,-49.03523321,-30.09360199,1.37796954,0,0,0.92207304
10,-70.14079486,29.62850007,8.0205592,-0.59146105,-49.03523321,-30.09360199,1.37796954,0,0,0.92115002
11,-71.34166004,28.99626345,7.92892237,-0.64351896,-49.03523321,-30.09360199,1.37796954,0,0,0.92245184
11,-71.50177539,28.75917472,7.8969033,-0.6226958,-49.03523321,-30.09360199,1.37796954,0,0,0.92234368
11,-71.58183307,28.8382043,7.88729097,-0.63310738,-49.03523321,-30.09360199,1.37796954,0,0,0.92713395
11,-71.58183307,28.8382043,7.91896354,-0.6226958,-49.03523321,-30.09360199,1.37796954,0,0,0.91973248
11,-71.58183307,28.91723387,7.9221187,-0.64351896,-49.03523321,-30.09360199,1.37796954,0,0,0.92151849
11,-71.58183307,28.68014515,7.88755973,-0.6747537,-49.03523321,-30.09360199,1.37796954,0,0,0.92198959
11,-71.66189075,28.8382043,7.90386541,-0.66434212,-49.03523321,-30.09360199,1.37796954,0,0,0.92324962
11,-71.58183307,28.8382043,7.9093039,-0.63310738,-49.03523321,-30.09360199,1.37796954,0,0,0.92198039
11,-71.66189075,28.99626345,7.9409538,-0.63310738,-49.03523321,-30.09360199,1.37796954,0,0,0.91965872
11,-71.58183307,29.07529303,7.93621437,-0.65393054,-49.03523321,-30.09360199,1.37796954,0,0,0.92326701
12,-77.74627411,30.41879584,8.02174475,-0.71640002,-49.03523321,-30.09360199,1.37796954,0,0,0.94544079
12,-77.74627411,30.33976626,8.17003956,-0.68516528,-49.03523321,-30.09360199,1.37796954,0,0,0.90906284
12,-77.90638946,30.26073668,8.33645082,-0.71640002,-49.03523321,-30.09360199,1.37796954,0,0,0.87085752
12,-77.98644713,30.26073668,8.22284028,-0.65393054,-49.03523321,-30.09360199,1.37796954,0,0,0.8950881
