at M=1.60,Coefficient of Lift(pg 101),,,,,,,,,,,
C_L,-0.4,-0.3,-0.2,-0.1,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7
L/D,,-4,-3.2,-1.9,0,1.9,3.4,4.4,4.6,4.5,4.3,4.1
C_D,,0.075,0.063,0.053,0.05,0.052,0.059,0.071,0.087,0.109,0.138,0.171
