%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  968.954378E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,0.13385652,0.18145186,0.61198960,-5.05568453,-0.03420903,-0.34493314,-0.00012876,0.00000000,0.00000000,0.96895438
1.00000000,0.13385652,0.33951096,0.83712485,-3.99367151,-0.02076901,-0.29369399,0.00004905,0.00000000,0.00000000,0.96895438
1.00000000,-0.10631666,-0.05563681,0.00000000,-3.10866043,-0.01068899,-0.21948556,-0.00021766,0.00000000,0.00000000,0.96895438
1.00000000,-0.18637439,-0.13466636,0.00000000,-1.99458734,-0.03756903,-0.16294580,-0.00003986,0.00000000,0.00000000,0.96895438
1.00000000,0.05379879,-0.05563681,0.00000000,-1.02628055,-0.00396898,-0.07636931,-0.00048437,0.00000000,0.00000000,0.96895438
1.00000000,-0.10631666,-0.05563681,0.00000000,0.02532175,-0.02076901,-0.01629582,-0.00003986,0.00000000,0.00000000,0.96895438
1.00000000,0.53414516,0.26048141,0.73324937,0.91033383,-0.00396898,0.05084513,-0.00092889,0.00000000,0.00000000,0.96895438
1.00000000,0.21391425,-0.05563681,0.00000000,2.04523200,0.00947104,0.10561802,-0.00083998,0.00000000,0.00000000,0.96895438
1.00000000,0.13385652,0.18145186,0.61198960,2.94065651,-0.00732898,0.18866077,-0.00066218,0.00000000,0.00000000,0.96895438
1.00000000,0.05379879,0.02339275,0.21973739,4.08596725,-0.01404899,0.24873425,-0.00012876,0.00000000,0.00000000,0.96895438
1.00000000,0.21391425,0.18145186,0.61198960,4.97098035,-0.01068899,0.30880773,-0.00021766,0.00000000,0.00000000,0.96895438
1.00000000,0.13385652,0.26048141,0.73324937,6.05382022,0.02627107,0.39361735,-0.00030657,0.00000000,0.00000000,0.96895438
1.00000000,0.13385652,0.10242230,0.45979114,7.10542465,-0.00396898,0.43072155,0.00004905,0.00000000,0.00000000,0.96895438
1.00000000,0.05379879,-0.05563681,0.00000000,8.00085046,0.00275103,0.51729803,-0.00003986,0.00000000,0.00000000,0.96895438
1.00000000,0.13385652,0.10242230,0.45979114,8.97957196,-0.00060897,0.59504018,0.00067137,0.00000000,0.00000000,0.96895438
1.00000000,0.37402970,0.10242230,0.45979114,9.95829374,0.02291106,0.64627932,0.00084917,0.00000000,0.00000000,0.96895438
1.00000000,-0.18637439,-0.05563681,0.00000000,10.97866355,0.03635109,0.70988652,0.00076027,0.00000000,0.00000000,0.96895438
1.00000000,0.13385652,0.02339275,0.21973739,11.99903367,0.00611104,0.78762866,0.00173820,0.00000000,0.00000000,0.96895438
1.00000000,0.21391425,-0.05563681,0.00000000,13.04022799,0.04979111,0.85653646,0.00164930,0.00000000,0.00000000,0.96895438
1.00000000,0.53414516,0.10242230,0.45979114,14.08142263,0.02627107,0.91660993,0.00164930,0.00000000,0.00000000,0.96895438
1.00000000,0.21391425,0.18145186,0.61198960,14.96643833,0.03635109,0.97845026,0.00191601,0.00000000,0.00000000,0.96895438
1.00000000,0.05379879,0.18145186,0.61198960,15.98680966,0.04979111,1.02968939,0.00227162,0.00000000,0.00000000,0.96895438
1.00000000,0.13385652,0.10242230,0.45979114,17.05924110,0.05987112,1.10213092,0.00280504,0.00000000,0.00000000,0.96895438
1.00000000,0.13385652,0.10242230,0.45979114,18.03796523,0.08675117,1.17457245,0.00289394,0.00000000,0.00000000,0.96895438
