%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  948.973597E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,314.3309057,296.2791589,24.98840204,-4.97147591,-0.94455164,-0.06964506,-0.02891635,0,0,0.9489736
1,311.2086421,294.066323,24.89491105,-4.02399318,-0.74967128,-0.05020952,-0.02384888,0,0,0.9489736
1,316.0921827,297.8597561,25.05496774,-3.0660983,-0.53463089,0.0080971,-0.01887032,0,0,0.9489736
1,328.1008907,308.0546086,25.48013874,-2.03531983,-0.25911041,0.05403565,-0.01335834,0,0,0.9489736
1,306.3251018,288.771323,24.66976227,-0.97330533,-0.01383,0.06817059,-0.00740184,0,0,0.9489736
1,315.9320666,298.3339352,25.074903,-0.03623345,0.22809039,0.12294347,-0.00277889,0,0,0.9489736
1,314.6511379,294.8566215,24.92834094,0.98413399,0.52713086,0.16004768,0.00424444,0,0,0.9489736
1,318.8942144,300.151622,25.15117509,1.99408982,0.72201116,0.18301695,0.00860069,0,0,0.9489736
1,318.4138661,297.6226665,25.04499417,3.00404593,1.04121162,0.21658742,0.0149128,0,0,0.9489736
1,312.3294546,293.2760245,24.8614362,3.97235465,1.28313196,0.23248923,0.0209582,0,0,0.9489736
1,314.5710798,295.9630395,24.97506761,5.03437097,1.54857232,0.24839103,0.02513664,0,0,0.9489736
1,314.6511379,294.9356514,24.93168146,6.02350412,1.85433271,0.29079584,0.03135985,0,0,0.9489736
1,315.2916022,296.2791589,24.98840204,6.97098982,2.17689311,0.32436631,0.03811647,0,0,0.9489736
1,317.3731114,297.2275172,25.02836271,8.10589062,2.47257345,0.36323739,0.04309504,0,0,0.9489736
1,316.2522988,294.7775917,24.92499997,8.98049333,2.75145376,0.38974039,0.04745128,0,0,0.9489736
1,314.9713701,295.0937111,24.93836117,10.01127539,2.93961396,0.421544,0.05118521,0,0,0.9489736
1,319.5346788,299.4403533,25.12135706,10.96917415,3.36969439,0.448047,0.0598977,0,0,0.9489736
1,318.0936339,297.3855769,25.03501662,12.0416046,3.61833462,0.47985061,0.06638762,0,0,0.9489736
1,317.8534597,296.1210992,24.98173572,13.00991589,3.79641478,0.51342108,0.0718107,0,0,0.9489736
1,316.1722407,294.5405021,24.91497436,14.03028723,4.27353518,0.52402228,0.08167894,0,0,0.9489736
1,323.6176395,302.0483387,25.23051753,14.90489149,4.62969545,0.53992408,0.08781324,0,0,0.9489736
1,317.6132856,296.1210992,24.98173572,16.00855909,4.88169562,0.58762949,0.09225839,0,0,0.9489736
1,317.6132856,296.5952784,25.00172936,17.03934332,4.94889567,0.63356802,0.08994692,0,0,0.9489736
1,317.7734017,295.9630395,24.97506761,18.02848,5.24121586,0.67597283,0.09190278,0,0,0.9489736
