%Sampling Frequency (Hz): 250,,,,,,,,,,
%Filter Frequency (Hz): 10,,,,,,,,,,
%Air Density (kg/m^3):  952.937690E-3,,,,,,,,,,
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1,0.01280924,0.09230652,0.4401482,-5.10574469,0.07582149,-0.30906622,0.00128027,0,0,0.95293769
1,-0.46753713,-0.3818708,0,-3.96043658,0.12958157,-0.24369213,0.00172479,0,0,0.95293769
1,-0.22736395,-0.2238117,0,-3.04418984,0.13630158,-0.17831803,0.00145808,0,0,0.95293769
1,-0.22736395,-0.06575259,0,-2.05505957,0.15310161,-0.11824454,0.00110247,0,0,0.95293769
1,-0.22736395,0.01327696,0.16692914,-0.9305743,0.11950156,-0.07053913,0.00110247,0,0,0.95293769
1,-0.22736395,0.09230652,0.4401482,-0.00391488,0.17326164,-0.00516504,0.00092466,0,0,0.95293769
1,-0.22736395,-0.14478214,0,1.05809959,0.17998165,0.05844218,0.00048015,0,0,0.95293769
1,-0.30742168,-0.14478214,0,1.98475954,0.18670166,0.12028254,0.00065795,0,0,0.95293769
1,-0.46753713,-0.2238117,0,3.05718652,0.20350169,0.18919036,0.00074685,0,0,0.95293769
1,0.17292469,0.17133607,0.59966286,3.97343508,0.2102217,0.24396324,0.00048015,0,0,0.95293769
1,0.09286696,0.17133607,0.59966286,5.01462691,0.2102217,0.29520238,0.00065795,0,0,0.95293769
1,0.17292469,0.09230652,0.4401482,6.00375944,0.22030172,0.36587707,0.00030234,0,0,0.95293769
1,-0.30742168,-0.53992991,0,6.9304207,0.21694171,0.41181561,0.00101356,0,0,0.95293769
1,-0.06724849,0.01327696,0.16692914,8.04449693,0.2135817,0.46482162,0.00074685,0,0,0.95293769
1,-0.06724849,0.25036563,0.72488664,8.98157067,0.24382175,0.53903003,0.00065795,0,0,0.95293769
1,0.25298242,0.01327696,0.16692914,9.97070434,0.26398178,0.60263724,0.00101356,0,0,0.95293769
1,-0.14730622,0.01327696,0.16692914,10.98066218,0.26062178,0.65387638,0.00056905,0,0,0.95293769
1,-0.14730622,0.09230652,0.4401482,11.98020837,0.2740618,0.71925045,0.00074685,0,0,0.95293769
1,-0.14730622,-0.14478214,0,13.06305041,0.28078181,0.77402332,0.00119137,0,0,0.95293769
1,0.01280924,0.01327696,0.16692914,14.00012554,0.29086183,0.82172873,0.00092466,0,0,0.95293769
1,-0.22736395,0.01327696,0.16692914,14.99967263,0.3379019,0.89593713,0.00074685,0,0,0.95293769
1,-0.06724849,0.25036563,0.72488664,15.94716026,0.3379019,0.95424373,0.00101356,0,0,0.95293769
1,-0.14730622,-0.14478214,0,17.0508275,0.35806193,1.01255033,0.00154698,0,0,0.95293769
1,-0.62765259,-0.3818708,0,17.96707983,0.36814195,1.06025573,0.00190259,0,0,0.95293769
