%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  967.368945E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,320.48256516,301.69175612,24.97472120,-5.00970564,-0.05233730,-0.05089269,-0.02426451,0.00000000,0.00000000,0.96736894
1.00000000,323.52477118,304.93198059,25.10847954,-4.10387101,-0.04561729,-0.01908908,-0.01893033,0.00000000,0.00000000,0.96736894
1.00000000,321.68343594,303.27235340,25.04005843,-2.95856254,0.03502284,0.05335248,-0.01039565,0.00000000,0.00000000,0.96736894
1.00000000,329.04877722,310.22698192,25.32553981,-2.04231550,0.12574298,0.11519283,-0.00239439,0.00000000,0.00000000,0.96736894
1.00000000,324.08517757,305.32712993,25.12474281,-1.00112540,0.20302310,0.18233378,0.00596249,0.00000000,0.00000000,0.96736894
1.00000000,316.96001100,297.89832280,24.81721003,-0.02240642,0.23998316,0.21413738,0.01369705,0.00000000,0.00000000,0.96736894
1.00000000,315.99931445,296.39675551,24.75458499,0.94590092,0.30382326,0.26360966,0.02107599,0.00000000,0.00000000,0.96736894
1.00000000,321.84355204,300.90145749,24.94198840,2.02873955,0.43486346,0.30954820,0.02952177,0.00000000,0.00000000,0.96736894
1.00000000,320.32244905,300.34824846,24.91904986,3.33022872,0.51886358,0.36078735,0.04019013,0.00000000,0.00000000,0.96736894
1.00000000,320.08227490,298.53056167,24.84353124,4.03823904,0.59614370,0.40849275,0.04614663,0.00000000,0.00000000,0.96736894
1.00000000,323.28459701,302.48205475,25.00741115,5.01695942,0.66670380,0.44913069,0.05485912,0.00000000,0.00000000,0.96736894
1.00000000,329.20889335,307.85608575,25.22857954,6.00609200,0.78094396,0.52157224,0.06357161,0.00000000,0.00000000,0.96736894
1.00000000,321.68343594,301.69175612,24.97472120,6.98481293,0.80782400,0.56751078,0.06952811,0.00000000,0.00000000,0.96736894
1.00000000,321.12302957,299.00474083,24.86325386,7.98435800,0.93550418,0.63818545,0.08170782,0.00000000,0.00000000,0.96736894
1.00000000,319.28169440,297.58220337,24.80403895,9.02555110,1.05310434,0.68589085,0.09139825,0.00000000,0.00000000,0.96736894
1.00000000,326.00657093,304.61586112,25.09546133,10.01468483,1.21774457,0.74243059,0.10028855,0.00000000,0.00000000,0.96736894
1.00000000,327.68779018,304.29974165,25.08243636,10.98299497,1.52686497,0.79543659,0.11246827,0.00000000,0.00000000,0.96736894
1.00000000,331.93086752,308.96250395,25.27387395,11.98254121,1.70494519,0.85904379,0.11531316,0.00000000,0.00000000,0.96736894
1.00000000,320.96291347,299.39989013,24.87967744,12.98208775,1.96366551,0.93678593,0.10962337,0.00000000,0.00000000,0.96736894
1.00000000,322.72419063,301.05951722,24.94853839,14.05451823,2.21902580,0.99155879,0.12011393,0.00000000,0.00000000,0.96736894
1.00000000,325.20599036,301.77078598,24.97799212,15.04365343,2.41054601,1.04103106,0.12304773,0.00000000,0.00000000,0.96736894
1.00000000,324.24529368,301.21757694,24.95508667,16.05361284,2.86078649,1.08343586,0.13442732,0.00000000,0.00000000,0.96736894
1.00000000,325.68633870,303.35138326,25.04332081,16.95945298,3.11950674,1.13467499,0.14056163,0.00000000,0.00000000,0.96736894
1.00000000,322.16378426,299.71600957,24.89280850,18.03188473,3.38830699,1.20534965,0.14536239,0.00000000,0.00000000,0.96736894
