%Sampling Frequency (Hz): 250
%Filter Frequency (Hz): 10
%Air Density (kg/m^3):  942.501942E-3
%Port Number, Selector Pressure {P#-Pinf} (Pa), Airspeed Dynamic {qinf} (Pa),Calc Free Stream Velocity {Vinf} (m/s), Angle of Attack (deg), Normal (N), Axial (N), Pitching (Nm), BLP X (mm), BLP Y (mm), Air Density (kg/m^3)
1.00000000,-0.08902419,-0.00063224,0.00000000,-4.99754471,-0.00063448,-0.32300766,0.00040315,0.00000000,0.00000000,0.94250194
1.00000000,-0.08902419,-0.15869134,0.00000000,-4.05006248,0.01952556,-0.27353538,-0.00030808,0.00000000,0.00000000,0.94250194
1.00000000,-0.08902419,0.31548598,0.81820834,-2.98804913,-0.00063448,-0.20286068,0.00058095,0.00000000,0.00000000,0.94250194
1.00000000,-0.16908192,0.15742687,0.57798065,-1.94685927,0.00944554,-0.12511852,0.00004754,0.00000000,0.00000000,0.94250194
1.00000000,-0.00896647,0.15742687,0.57798065,-0.95772862,0.00272553,-0.06151130,0.00075876,0.00000000,0.00000000,0.94250194
1.00000000,-0.00896647,0.07839732,0.40787254,0.03140231,0.00272553,0.00562965,0.00004754,0.00000000,0.00000000,0.94250194
1.00000000,0.07109126,0.15742687,0.57798065,0.98929778,-0.01071449,0.07277061,0.00075876,0.00000000,0.00000000,0.94250194
1.00000000,-0.16908192,0.31548598,0.81820834,1.96801734,0.00608553,0.13284409,0.00013644,0.00000000,0.00000000,0.94250194
1.00000000,-0.08902419,-0.07966179,0.00000000,3.08209206,0.02288556,0.20175190,-0.00004137,0.00000000,0.00000000,0.94250194
1.00000000,-0.08902419,-0.07966179,0.00000000,4.02957645,0.01952556,0.25829165,0.00049205,0.00000000,0.00000000,0.94250194
1.00000000,0.07109126,-0.07966179,0.00000000,5.06035646,0.01952556,0.33073320,0.00111437,0.00000000,0.00000000,0.94250194
1.00000000,-0.08902419,-0.00063224,0.00000000,5.97660562,0.02288556,0.39257354,0.00146998,0.00000000,0.00000000,0.94250194
1.00000000,-0.24913965,-0.00063224,0.00000000,6.99697429,0.00608553,0.44381268,0.00075876,0.00000000,0.00000000,0.94250194
1.00000000,0.15114899,-0.00063224,0.00000000,8.10063869,0.01616555,0.53215603,0.00120327,0.00000000,0.00000000,0.94250194
1.00000000,0.15114899,0.07839732,0.40787254,9.06894832,0.00944554,0.60283070,0.00173669,0.00000000,0.00000000,0.94250194
1.00000000,0.07109126,-0.00063224,0.00000000,10.01643436,0.02624557,0.66997164,0.00182559,0.00000000,0.00000000,0.94250194
1.00000000,-0.08902419,0.31548598,0.81820834,10.97433259,0.01952556,0.72474451,0.00182559,0.00000000,0.00000000,0.94250194
1.00000000,-0.16908192,0.07839732,0.40787254,12.08841023,0.03632558,0.80425351,0.00253682,0.00000000,0.00000000,0.94250194
1.00000000,0.23120672,0.15742687,0.57798065,13.05672100,0.03296558,0.86256011,0.00235901,0.00000000,0.00000000,0.94250194
1.00000000,0.07109126,0.15742687,0.57798065,13.97297231,0.03632558,0.92616731,0.00280353,0.00000000,0.00000000,0.94250194
1.00000000,0.15114899,-0.00063224,0.00000000,14.99334338,0.05984562,0.97563958,0.00271462,0.00000000,0.00000000,0.94250194
1.00000000,-0.40925510,-0.39578000,0.00000000,15.96165499,0.05648561,1.06574978,0.00253682,0.00000000,0.00000000,0.94250194
1.00000000,-0.32919738,-0.23772090,0.00000000,17.00285058,0.06656563,1.11698891,0.00369256,0.00000000,0.00000000,0.94250194
1.00000000,-0.32919738,-0.00063224,0.00000000,18.01281062,0.07328564,1.18766357,0.00404817,0.00000000,0.00000000,0.94250194
