351.796,0.00347012
364.342,0.0120893
382.274,0.0293776
400.218,0.053631
424.437,0.0830647
440.591,0.107331
465.699,0.133275
480.054,0.15233
496.198,0.171372
510.556,0.192168
527.625,0.226875
543.767,0.244176
559.023,0.266707
572.48,0.284026
586.835,0.303081
601.183,0.318653
620.94,0.355083
637.097,0.38109
648.767,0.400163
664.017,0.419211
681.073,0.446953
695.434,0.469491
726.851,0.51977
748.398,0.556187
769.913,0.575192
797.692,0.594153
820.089,0.606186
833.511,0.604351
845.164,0.614718
862.166,0.612858
880.925,0.593573
894.315,0.574326
906.79,0.544636
915.688,0.516713
926.377,0.488778
937.072,0.464325
947.763,0.438131
958.452,0.410195
970.045,0.387477
980.74,0.363024
992.323,0.335083
1003.92,0.312365
1013.71,0.284436
1026.19,0.25997
1036.87,0.226811
1049.35,0.19538
1060.04,0.169186
1073.39,0.132525
1085.86,0.0958709
1100.1,0.0557214
