260.168,0.393865
267.139,0.456669
284.601,0.576577
298.516,0.730724
319.422,0.924842
350.81,1.18748
378.759,1.3702
399.738,1.49012
420.733,1.59291
448.759,1.69573
469.792,1.75857
494.368,1.79287
533.035,1.79868
564.697,1.77593
599.903,1.72465
638.646,1.65055
670.363,1.57072
716.176,1.45668
769.02,1.34265
821.897,1.19438
881.8,1.05184
945.197,0.932138
990.999,0.829513
1061.42,0.715536
1124.8,0.612956
1198.72,0.521818
1286.68,0.442132
1381.68,0.362463
1483.7,0.294228
1603.29,0.237454
1705.28,0.197758
1807.26,0.163769
1905.72,0.141188
2000.66,0.130013
2102.64,0.101733
2172.95,0.0962032
2250.3,0.0963994
2334.69,0.0794901
2412.04,0.0682707
2485.87,0.068458
2591.35,0.0573099
